,639-3,639-1,639-2B,Family,Native,eng,fra,spa,zho,rus,deu
43,fij,fj,fij,Austronesian,na vosa Vakaviti,Fijian,fidjien,fi(d)jiano,斐济语,фиджи,Fidschianisch
44,fin,fi,fin,Uralic,suomi,Finnish,finnois,fin(land)és,芬兰语,финский,Finnisch
45,fra,fr,fre,Indo-European,français,French,français,francés,法语,французский,Französisch
46,fry,fy,fry,Indo-European,Frysk,"Frisian, Western",frison (occidental),,弗里西亚语; 西弗里西亚语,западнофризский,Westfriesisch
47,ful,ff,ful,Niger–Congo,Fulfulde,Fulah,peul,,富拉语; 弗拉尼语,фулах,Ful
48,gla,gd,gla,Indo-European,Gàidhlig,Gaelic (Scots),gaélique écossais,gaélico escocés,,шотландский гэльский,Schottisch-Gälisch
49,gle,ga,gle,Indo-European,Gaeilge,Irish,(gaélique) irlandais,irlandés,爱尔兰语,ирландский,Irisch
50,glg,gl,glg,Indo-European,galego,Galician,galicien,gallego,加利西亚语; 加里西亚语,галисийский,Galicisch
51,glv,gv,glv,Indo-European,Gaelg,Manx,manx,manés,马恩岛语; 曼岛语,мэнский,Manx
52,grn,gn,grn,Tupian,Avañe'ẽ,Guarani,guarani,guaraní,瓜拉尼语,гуарани,Guaraní
53,guj,gu,guj,Indo-European,ગુજરાતી,Gujarati,gujarâtî,guyaratí,古吉拉特语,гуджарати,Gujarati
54,hat,ht,hat,French Creole,kreyòl ayisyen,Haitian; Haitian Creole,haïtien; créole haïtien,criollo haitiano,海地克里奥尔语,гаити,Haitianisch
55,hau,ha,hau,Afro-Asiatic,حَوْسَ,Hausa,haoussa,hausa,豪萨语; 豪撒语,хауса,Hausa
56,heb,he,heb,Afro-Asiatic,עִבְרִית,Hebrew,hébreu,hebreo,希伯来语,иврит,Hebräisch; Iwrit
57,her,hz,her,Niger–Congo,Otjiherero,Herero,herero,herero,赫雷罗语,гереро,Otjiherero
58,hin,hi,hin,Indo-European,हिन्दी,Hindi,Hindi,Hindi,印地语,хинди,Hindi
59,hmo,ho,hmo,Austronesian,,Hiri Motu,hiri motu,,希里莫图语; 希里木托语,хиримоту,Hiri Motu
60,hrv,hr,hrv,Indo-European,hrvatski,Croatian,croate,croata,克罗地亚语; 克罗埃西亚语,хорватский,Kroatisch
61,hun,hu,hun,Uralic,magyar,Hungarian,hongrois,húngaro,匈牙利语,венгерский,Ungarisch
62,hye,hy,arm,Indo-European,Հայերեն,Armenian,arménien,armenio,亚美尼亚语,армянский,Armenisch
63,ibo,ig,ibo,Niger–Congo,Igbo,Igbo,igbo,igbo,伊博语,игбо,Igbo
64,ido,io,ido,constructed,Ido,Ido,ido,ido,伊多语,идо,Ido
65,iii,ii,iii,Sino-Tibetan,ꆇꉙ,"Yi, Sichuan",yi de Sichuan,,四川彝语,,
66,iku,iu,iku,Eskimo–Aleut,ᐃᓄᒃᑎᑐᑦ,Inuktitut,inuktitut,inuktitut,伊努伊特语; 伊努特语; 因纽特语,инуктитут,Inuktitut
67,ile,ie,ile,constructed,Interlingue,Interlingue,interlingue,interlingue,西方国际语; 国际语E,интерлингве,Interlingue
68,ina,ia,ina,constructed,interlingua,Interlingua,interlingua,interlingua,国际语; 国际语A,интерлингва,Interlingua
69,ind,id,ind,Austronesian,bahasa Indonesia,Indonesian,indonésien,indonesio,印尼语,индонезийский,Indonesisch
70,ipk,ik,ipk,Eskimo–Aleut,Iñupiaq,Inupiaq,inupiaq,inupiaq,依努庇克语,инупиак,Inupiaq
71,isl,is,ice,Indo-European,íslenska,Icelandic,islandais,islandés,冰岛语,исландский,Isländisch
72,ita,it,ita,Indo-European,italiano,Italian,italien,italiano,意大利语; 义大利语,итальянский,Italienisch
73,jav,jv,jav,Austronesian,basa Jawa,Javanese,javanais,javanés,爪哇语,яванский,Javanisch
74,jpn,ja,jpn,Japonic,日本語,Japanese,japonais,japonés,日语,японский,Japanisch
75,kal,kl,kal,Eskimo–Aleut,kalaallisut,Kalaallisut,groenlandais,groenlandés,格陵兰语,гренландский,Kalaallisut
76,kan,kn,kan,Dravidian,ಕನ್ನಡ,Kannada,kannada,canarés,卡纳达语; 康纳达语,каннада,Kannada
77,kas,ks,kas,Indo-European,كشميري,Kashmiri,kashmiri,cachemir,克什米尔语,кашмири,Kashmiri
78,kat,ka,geo,Kartvelian,ქართული,Georgian,géorgien,georgiano,格鲁吉亚语; 乔治亚语,грузинский,Georgisch
79,kau,kr,kau,Nilo-Saharan,kanuri,Kanuri,kanouri,canurí,卡努里语,канури,Kanuri
80,kaz,kk,kaz,Turkic,Қазақша,Kazakh,kazakh,kazaj(i)o,哈萨克语,казахский,Kasachisch
81,khm,km,khm,Austroasiatic,ខ្មែរ,Khmer,khmer,jemer,高棉语,кхмерский,
82,kik,ki,kik,Niger–Congo,Gĩkũyũ,Kikuyu,kikuyu,quicuyú,基库尤语; 吉库尤语,кикуйю,Kikuyu
83,kin,rw,kin,Niger–Congo,kinyaRwanda,Kinyarwanda,rwanda,ruandés,基尼阿万达语; 卢安达语,киньяруанда,Kinyarwanda
84,kir,ky,kir,Turkic,Кыргыз,Kyrgyz,kirghize,kirguís,吉尔吉斯语; 柯尔克孜语,киргизский,Kirgisisch
85,kom,kv,kom,Uralic,коми,Komi,kom,komi,科米语,коми,Komi
86,kon,kg,kon,Niger–Congo,Kikongo,Kongo,kongo,kongo,刚果语,конго,Kikongo
87,kor,ko,kor,Koreanic,한국어,Korean,coréen,coreano,朝鲜语; 韩语,корейский,Koreanisch
88,kua,kj,kua,Niger–Congo,kuanyama,Kuanyama,kuanyama,,宽亚玛语; 贡耶玛语,кваньяма,
89,kur,ku,kur,Indo-European,Kurdî,Kurdish,kurde,kurdo,库尔德语; 库德语,курдский,Kurdisch
90,lao,lo,lao,Tai–Kadai,ພາສາລາວ,Lao,lao,laosiano,老挝语; 寮国语,лаосский,Laotisch
91,lat,la,lat,Indo-European,lingua Latīna,Latin,latin,latín,拉丁语,латинский,Latein(isch)
92,lav,lv,lav,Indo-European,latviešu,Latvian,letton,letón,拉脱维亚语,латышский,Lettisch
93,lim,li,lim,Indo-European,Lèmburgs,"Limburgish, Limburgan",limbourgeois,,林堡语,лимбургский,Limburgisch
94,lin,ln,lin,Niger–Congo,Lingala,Lingala,lingala,lingala,林加拉语; 林格拉语,лингала,Lingala
95,lit,lt,lit,Indo-European,lietuvių,Lithuanian,lituanien,lituano,立陶宛语,литовский,Litauisch
96,ltz,lb,ltz,Indo-European,Lëtzebuergesch,Luxembourgish; Letzeburgesch,luxembourgeois,luxemburgués,卢森堡语,люксембургский,Luxemburgisch
97,lub,lu,lub,Niger–Congo,,Luba-Katanga,luba-katanga,,卢巴-加丹加语; 卢巴卡丹加语,луба-катанга,
98,lug,lg,lug,Niger–Congo,Luganda,Luganda,ganda,luganda,干达语; 卢干达语,ганда,Luganda
99,mah,mh,mah,Austronesian,Kajin M̧ajeļ,Marshall,marshall,,马绍尔语,маршал(л)ьский,Marshallisch
100,mal,ml,mal,Dravidian,മലയാളം,Malayalam,malayalam,malayalam,马拉雅拉姆语,малаялам,Malajalam
101,mar,mr,mar,Indo-European,मराठी,Marathi,marathe,maratí,马拉地语,маратхи,Marathi
102,mkd,mk,mac,Indo-European,македонски,Macedonian,macédonien,macedonio,马其顿语,македонский,Mazedonisch
103,mlg,mg,mlg,Austronesian,Malagasy,Malagasy,malgache,mal(a)gache,马达加斯加语、马拉加西语,малагасийский,Madegassisch
104,mlt,mt,mlt,Afro-Asiatic,bil-Malta,Maltese,maltais,maltés,马耳他语; 马尔他语,мальтийский,Maltesisch
105,mon,mn,mon,Mongolic,монгол,Mongolian,mongol,mongol,蒙古语,монгольский,Mongolisch
106,mri,mi,mao,Austronesian,te reo Māori,Maori,maori,maorí,毛利语,маори,Maori
107,msa,ms,may,Austronesian,bahasa Melayu,Malay (generic),malais,malayo,马来语,малайский,Malaiisch
108,mya,my,bur,Sino-Tibetan,မြန်မာစာ,Burmese,birman,birmano,缅甸语,бирманский,Burmesisch
109,nau,na,nau,Austronesian,ekakairũ naoero,Nauru,nauruan,nauruano,瑙鲁语; 诺鲁语,науру,Nauruisch
110,nav,nv,nav,Dené–Yeniseian,Diné bizaad,Navajo,navaho,navajo,纳瓦霍语; 纳瓦荷语,навахо,Navajo
111,nbl,nr,nbl,Niger–Congo,Ndébélé,"Ndebele, South",ndébélé du Sud,,南恩德贝勒语,южный ндебеле,
112,nde,nd,nde,Niger–Congo,isiNdebele,"Ndebele, North",ndébélé du Nord,,北恩德贝勒语,северный ндебеле,
113,ndo,ng,ndo,Niger–Congo,O(shi)wambo,Ndonga,ndonga,,恩敦加语; 恩东加语,ндонга,
114,nep,ne,nep,Indo-European,नेपाली,Nepali,népalais,nepalí,尼泊尔语,непали,Nepali
115,nld,nl,dut,Indo-European,Nederlands,Dutch,néerlandais,neerlandés,荷兰语,нидерландский,Niederländisch
116,nno,nn,nno,Indo-European,Nynorsk,Norwegian Nynorsk,norvégien nynorsk,noruego nynorsk,新挪威语,нюнорск,Nynorsk
117,nob,nb,nob,Indo-European,Bokmål,Norwegian Bokmål,norvégien bokmål,noruego bokmål,挪威布克莫尔语; 书面挪威语; 波克莫尔语,букмол,Norwegische Bokmål
118,nor,no,nor,Indo-European,norsk,Norwegian,norvégien,noruego,挪威语,норвежский,Norwegisch
119,nya,ny,nya,Niger–Congo,chiCheŵa,Chichewa; Nyanja,nyanja,ñanya,尼昂加语; 齐切瓦语,ньянджа,Nyanja
120,oci,oc,oci,Indo-European,occitan,Occitan (post 1500),occitan (après 1500),occitano,奥克西唐语; 奥克西坦语; 奥克语,окситанский,Okzitanisch
121,oji,oj,oji,Cree,ᐊᓂᔑᓇᐯᒧᐎᓐ (Anishinaabemowin),Ojibwa,ojibwa,ojibwa,奥吉布瓦语,оджибва,
122,ori,or,ori,Indo-European,ଓଡ଼ିଆ,Oriya,oriya,oriya,奥利亚语; 奥里亚语,ория,Oriya
123,orm,om,orm,Afro-Asiatic,Oromoo,Oromo,galla,oromo,奥罗莫语,оромо,Oromo
124,oss,os,oss,Indo-European,иронау,Ossetian,ossète,oseto,奥塞梯语; 奥塞提语,осетинский,Ossetisch
125,pan,pa,pan,Indo-European,ਪੰਜਾਬੀ,Panjabi; Punjabi,pendjabi,panyabí,旁遮普语,пенджаби,Pandschabisch
126,pli,pi,pli,Indo-European,"पालि, पाळि",Pali,pali,,巴利语,пали,Pali
127,pol,pl,pol,Indo-European,polski,Polish,polonais,polaco,波兰语,польский,Polnisch
128,por,pt,por,Indo-European,português,Portuguese,portugais,portugués,葡萄牙语,португальский,Portugiesisch
129,pus,ps,pus,Indo-European,پښتو,Pushto,pachto,pastú,普什图语; 帕图语,пушту,Paschtunisch
130,que,qu,que,Quechuan,Runa Simi,Quechua,quechua,quechua,克丘亚语; 凯楚亚语; 奇楚瓦语,кечуа,Quechua
131,roh,rm,roh,Indo-European,rumantsch,Raeto-Romance,rhéto-roman,retorrománico,罗曼什语,ретороманский,Rätoromanisch
132,ron,ro,rum,Indo-European,română,Romanian,roumain,rumano,罗马尼亚语,румынский,Rumänisch
133,run,rn,run,Niger–Congo,kiRundi,Rundi,rundi,rundí,基隆迪语; 克伦地语,рунди,Kirundi
134,rus,ru,rus,Indo-European,русский,Russian,russe,ruso,俄语,русский,Russisch
135,sag,sg,sag,Creole,sängö,Sango,sango,sango,桑戈语,санго,Sango
136,san,sa,san,Indo-European,संस्कृतम्,Sanskrit,sanskrit,sánscrito,梵语,санскрит,Sanskrit
137,sin,si,sin,Indo-European,සිංහල,Sinhala; Sinhalese,singhalais,cingalés,僧加罗语; 僧伽罗语,сингальский,Singhalesisch
138,slk,sk,slo,Indo-European,slovenčina,Slovak,slovaque,eslovaco,斯洛伐克语,словацкий,Slowakisch
139,slv,sl,slv,Indo-European,slovenščina,Slovenian,slovène,esloveno,斯洛文尼亚语、斯洛维尼亚语,словенский,Slowenisch
140,sme,se,sme,Uralic,sámi,Northern Sami,sami du Nord,,北萨米语,северносаамский,Nordsamisch
141,smo,sm,smo,Austronesian,gagana Samoa,Samoan,samoan,samoano,萨摩亚语,самоанский,Samoanisch
142,sna,sn,sna,Niger–Congo,chiShona,Shona,shona,sonés,修纳语; 绍纳语,шона,Shona
143,snd,sd,snd,Indo-European,سندھی,Sindhi,sindhî,sindí,信德语; 辛德语,синдхи,Sindhi
144,som,so,som,Afro-Asiatic,Soomaaliga,Somali,somali,somalí,索马里语; 索马利亚语,сомали,Somalisch
145,sot,st,sot,Niger–Congo,Sesotho,"Sotho, Southern",sotho du Sud,sesotho,南索托语,сесото,Sesotho
146,spa,es,spa,Indo-European,español,Spanish (Castilian),espagnol,español,西班牙语,испанский,Spanisch
147,sqi,sq,alb,Indo-European,Shqip,Albanian,albanais,albanés,阿尔巴尼亚语,албанский,Albanisch
148,srd,sc,srd,Indo-European,sardu,Sardinian,sarde,sardo,"撒丁语, 萨丁尼亚语",сардинский,Sardisch
149,srp,sr,srp,Indo-European,српски / srpski,Serbian,serbe,serbio,塞尔维亚语,сербский,Serbisch
150,ssw,ss,ssw,Niger–Congo,siSwati,Swati,swati,swati,斯瓦特语; 史瓦济兰语,свати,Siswati
151,sun,su,sun,Austronesian,basa Sunda,Sundanese,soundanais,sundanés,巽他语,сунданский,Sundanesisch
152,swa,sw,swa,Niger–Congo,kiswahili,Swahili (generic),swahili,suahelí,斯瓦希里语; 斯瓦西里语,суахили,Suaheli
153,swe,sv,swe,Indo-European,svenska,Swedish,suédois,sueco,瑞典语,шведский,Schwedisch
154,tah,ty,tah,Austronesian,te reo Tahiti,Tahitian,tahitien,tahitiano,塔希提语、大溪地语,таитянский,Tahitianisch
155,tam,ta,tam,Dravidian,தமிழ்,Tamil,tamoul,Tamil,泰米尔语; 坦米尔语; 淡米尔语,тамильский,Tamilisch
156,tat,tt,tat,Turkic,Tatarça,Tatar,tatar,tártaro,塔塔尔语; 鞑靼语,татарский,Tatarisch
157,tel,te,tel,Dravidian,తెలుగు,Telugu,télougou,telugú,泰卢固语,телугу,Telugu
158,tgk,tg,tgk,Indo-European,тоҷикӣ,Tajik,tadjik,tayiko,塔吉克语,таджикский,Tadschikisch
159,tgl,tl,tgl,Austronesian,Tagálog,Tagalog,Tagalog,tagalo(g),塔加洛语; 塔加拉语; 他加禄语,тагальский,Tagalog
160,tha,th,tha,Tai–Kadai,ภาษาไทย,Thai,thaï(landais),tailandés,泰语,тайский,Thai(ländisch)
161,tir,ti,tir,Afro-Asiatic,ትግርኛ,Tigrinya,tigrigna,tigriña,提格里尼亚语、提格利尼亚语,тигринья,Tigrinja
162,ton,to,ton,Austronesian,faka-Tonga,Tonga (Tonga Islands),Tongan (Îles Tonga),tongano,汤加语; 东加语,тонга (Тонга исландский),Tongaisch
163,tsn,tn,tsn,Niger–Congo,Setswana,Tswana,tswana,setsuana,茨瓦纳语,тсвана,Tsuana
164,tso,ts,tso,Niger–Congo,Xitsonga,Tsonga,tsonga,tsonga,聪加语; 宗加语,тсонга,Tsongaisch
165,tuk,tk,tuk,Turkic,Түркмен,Turkmen,turkmène,turcomano,土库曼语,туркменский,Turkmenisch
166,tur,tr,tur,Turkic,Türkçe,Turkish,Turc,Turco,土耳其语,турецкий,Türkisch
167,twi,tw,twi,Niger–Congo,Twi,Twi,twi,twi,契维语; 特威语; 多威语,тви,Twi
168,uig,ug,uig,Turkic,ئۇيغۇرچە,Uighur,ouïgour,uigur,维吾尔语,уйгурский,Uigurisch
169,ukr,uk,ukr,Indo-European,українська,Ukrainian,ukrainien,ucrani(an)o,乌克兰语,украинский,Ukrainisch
170,urd,ur,urd,Indo-European,اردو,Urdu,ourdou,Urdu,乌尔都语; 乌都语; 晤鲁都语,урду,Urdu
171,uzb,uz,uzb,Turkic,Ўзбек,Uzbek,ou(s)zbek,uzbeco,乌兹别克语; 乌孜别克语,узбекский,Usbekisch
172,ven,ve,ven,Niger–Congo,Tshivenḓa,Venda,venda,venda,文达语; 温达语,венда,Tshivenda
173,vie,vi,vie,Austroasiatic,tiếng Việt,Vietnamese,vietnamien,vietnamita,越南语; 京语,вьетнамский,Vietnamesisch
174,vol,vo,vol,constructed,volapük,Volapük,volapük,volapük,沃拉普克语,волапюк,Volapük
175,wln,wa,wln,Indo-European,walon,Walloon,wallon,,瓦龙语; 瓦隆语; 华隆语,валлонский,Wallonisch
176,wol,wo,wol,Niger–Congo,Wolof,Wolof,wolof,volofo,沃洛夫语; 渥鲁夫语,волоф,Wolof
177,xho,xh,xho,Niger–Congo,isiXhosa,Xhosa,xhosa,xhosa,科萨语,коса,Xhosa
178,yid,yi,yid,Indo-European,אידיש,Yiddish,Yiddish,,依地语; 意第绪语,идиш,Jiddisch
179,yor,yo,yor,Niger–Congo,,Yoruba,yoruba,,约鲁巴语,,
180,zha,za,zha,Tai–Kadai,,Zhuang,zhuang,,壮语,чжуанский,
181,zho,zh,chi,Chinese,中文; 汉语; 华语,Chinese,chinois,,中文; 汉语; 华语,китайский,Chinesisch
182,zul,zu,zul,Niger–Congo,isiZulu,Zulu,zoulou,,祖鲁语,зулу,
